ID...1	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	ENSG00000157578	LCA5L	chr21	-	39435419	39435573	39435419	39435542	39444134	39444201	5	8,4,1	2,2,2	1,0,0	0,10,2	180	149	0.000188756084341	0.01044540378	0.768,0.623,0.293	1.0,0.0,0.0	0.228
34	ENSG00000185917	SETD4	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242	34	21,11,19	2,2,3	25,19,25	0,0,1	198	149	0.000801875025389	0.0324817137085	0.888,0.805,0.827	1.0,1.0,0.95	-0.143
138	ENSG00000100151	PICK1	chr22	+	38057752	38057850	38057819	38057850	38057264	38057436	138	69,59,83	3,2,7	63,60,80	0,2,0	216	149	0.00075638553069	0.0310181573217	0.941,0.953,0.891	1.0,0.954,1.0	-0.056
316	ENSG00000099625	CBARP	chr19	-	1235000	1235342	1235000	1235145	1235500	1235565	316	5,0,5	1,3,4	0,0,1	4,3,6	298	149	0.000133330897918	0.00792359085041	0.714,0.0,0.385	0.0,0.0,0.077	0.341
566	ENSG00000115268	RPS15	chr19	+	1438806	1438892	1438810	1438892	1438418	1438580	566	531,392,386	16,0,0	429,375,497	21,24,21	153	149	0.0000000150139645161	0.00000373845909464	0.97,1.0,1.0	0.952,0.938,0.958	0.041
615	ENSG00000130813	SHFL	chr19	+	10089306	10089695	10089656	10089695	10087250	10087300	615	19,10,22	118,113,97	11,3,7	125,110,132	298	149	0.000115435154224	0.00715726610236	0.075,0.042,0.102	0.042,0.013,0.026	0.046
714	ENSG00000126254	RBM42	chr19	+	35633097	35633252	35633100	35633252	35631330	35631405	714	109,68,64	13,14,12	76,58,80	9,2,2	152	149	0.000964421016866	0.0370754760593	0.892,0.826,0.839	0.892,0.966,0.975	-0.092
792	ENSG00000131115	ZNF227	chr19	+	44213086	44213244	44213089	44213244	44212622	44212763	792	1,1,2	0,6,0	1,0,0	0,2,1	152	149	0.000160797128092	0.00919993531516	1.0,0.14,1.0	1.0,0.0,0.0	0.38
826	ENSG00000131944	FAAP24	chr19	+	32973425	32973562	32973483	32973562	32973183	32973302	826	33,29,30	4,4,3	15,26,17	0,0,1	207	149	0.000183612390081	0.0102401424425	0.856,0.839,0.878	1.0,1.0,0.924	-0.117
845	ENSG00000064545	TMEM161A	chr19	-	19132351	19132508	19132351	19132433	19132656	19132754	845	51,32,55	9,6,9	37,37,41	0,2,1	224	149	0.00000395235841444	0.000462530599719	0.79,0.78,0.803	1.0,0.925,0.965	-0.172
989	ENSG00000088833	NSFL1C	chr20	-	1454966	1455132	1454966	1455037	1458199	1458274	989	2836,2698,2456	120,95,122	2296,2438,2996	70,51,93	244	149	0.000371289732586	0.018097536386	0.935,0.945,0.925	0.952,0.967,0.952	-0.022
1265	ENSG00000153914	SREK1	chr5	+	66156064	66158932	66158808	66158932	66153462	66153596	1265	22,22,28	1,3,14	22,16,27	2,0,0	298	149	0.0000761441755569	0.00509101713259	0.917,0.786,0.5	0.846,1.0,1.0	-0.214
1311	ENSG00000108848	LUC7L3	chr17	+	50749218	50749344	50749223	50749344	50748388	50748416	1311	28,30,27	9,4,4	14,9,7	1,0,0	154	149	0.0000482714418266	0.00354405565221	0.751,0.879,0.867	0.931,1.0,1.0	-0.145
1344	ENSG00000176623	RMDN1	chr8	-	86472348	86474358	86472348	86472479	86474819	86474953	1344	128,118,120	49,38,23	94,89,114	63,43,64	298	149	0.000749936974883	0.0308218118437	0.566,0.608,0.723	0.427,0.509,0.471	0.163
1353	ENSG00000114745	GORASP1	chr3	-	39102677	39102999	39102677	39102881	39103472	39103553	1353	10,4,12	132,155,127	2,3,2	122,120,142	267	149	0.000921494075217	0.0358164118043	0.041,0.014,0.05	0.009,0.014,0.008	0.025
1359	ENSG00000114107	CEP70	chr3	-	138572858	138572984	138572858	138572914	138591853	138591956	1359	259,249,254	6,21,16	180,169,191	22,12,30	219	149	0.000821560494194	0.0330339934932	0.967,0.89,0.915	0.848,0.905,0.812	0.069
