ID...1	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	ENSG00000157578	LCA5L	chr21	-	39435419	39435573	39435419	39435542	39444134	39444201	5	8,4,1	2,2,2	1,0,0	0,10,2	180	149	0.000188756084341	0.0101926090706	0.768,0.623,0.293	1.0,0.0,0.0	0.228
34	ENSG00000185917	SETD4	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242	34	21,11,19	2,2,3	25,19,25	0,0,1	198	149	0.000801875025389	0.0315044621862	0.888,0.805,0.827	1.0,1.0,0.95	-0.143
131	ENSG00000182944	EWSR1	chr22	+	29292487	29292606	29292499	29292606	29288605	29288755	131	231,208,186	16,6,7	276,192,205	20,19,25	161	149	0.00143931837758	0.0489853471135	0.93,0.97,0.961	0.927,0.903,0.884	0.049
138	ENSG00000100151	PICK1	chr22	+	38057752	38057850	38057819	38057850	38057264	38057436	138	69,59,83	3,2,7	63,60,80	0,2,0	216	149	0.00075638553069	0.030150890695	0.941,0.953,0.891	1.0,0.954,1.0	-0.056
269	ENSG00000131002	TXLNGY	chrY	+	19588369	19589612	19589520	19589612	19587209	19587507	269	199,217,216	34,27,35	210,219,240	16,6,15	1300	149	0.0000578573654044	0.00400721579719	0.401,0.479,0.414	0.601,0.807,0.647	-0.254
372	ENSG00000132024	CC2D1A	chr19	+	13927174	13928030	13927892	13928030	13926977	13927077	372	713,610,618	4,0,5	631,552,700	11,8,7	867	149	0.00125807706462	0.0442772571458	0.968,1.0,0.955	0.908,0.922,0.945	0.049
453	ENSG00000123815	COQ8B	chr19	-	40695988	40696661	40695988	40696054	40700066	40700174	453	10,12,9	43,45,43	3,0,5	29,38,48	756	149	0.000413999339063	0.0189789884568	0.044,0.05,0.04	0.02,0.0,0.02	0.031
566	ENSG00000115268	RPS15	chr19	+	1438806	1438892	1438810	1438892	1438418	1438580	566	531,392,386	16,0,0	429,375,497	21,24,21	153	149	0.0000000150139645161	0.00000365336968654	0.97,1.0,1.0	0.952,0.938,0.958	0.041
615	ENSG00000130813	SHFL	chr19	+	10089306	10089695	10089656	10089695	10087250	10087300	615	41,22,33	118,113,97	16,6,16	125,110,132	499	149	0.000000674691144398	0.0000980656715327	0.094,0.055,0.092	0.037,0.016,0.035	0.051
714	ENSG00000126254	RBM42	chr19	+	35633097	35633252	35633100	35633252	35631330	35631405	714	109,68,64	13,14,12	76,58,80	9,2,2	152	149	0.000964421016866	0.0360747060832	0.892,0.826,0.839	0.892,0.966,0.975	-0.092
